frame,time_s,track_id,class_id,class_name,conf,x1,y1,x2,y2,cx,cy
56,0.9342666666666668,-1,32,sports ball,0.2880958020687103,410.443115234375,204.6221466064453,522.9813842773438,305.33990478515625,466.7122497558594,254.9810256958008
57,0.95095,-1,32,sports ball,0.3319329023361206,444.8854370117187,205.6728057861328,554.5372314453125,302.7237243652344,499.7113342285156,254.1982650756836
58,0.9676333333333332,-1,32,sports ball,0.1676707565784454,481.3783264160156,205.65426635742188,589.3843383789062,302.5487365722656,535.3813323974609,254.10150146484375
59,0.9843166666666668,-1,32,sports ball,0.2333533316850662,516.3668212890625,207.9202423095703,623.4053344726562,305.8458557128906,569.8860778808594,256.88304901123047
60,1.001,-1,32,sports ball,0.2212711721658706,550.0653076171875,211.40057373046875,656.751708984375,310.26507568359375,603.4085083007812,260.83282470703125
61,1.0176833333333333,-1,32,sports ball,0.1139105483889579,584.7655029296875,216.10272216796875,694.6978149414062,314.8733825683594,639.7316589355469,265.48805236816406
62,1.0343666666666669,-1,32,sports ball,0.1538327187299728,619.0734252929688,219.77247619628903,726.7064819335938,323.8846435546875,672.8899536132812,271.8285598754883
63,1.05105,-1,32,sports ball,0.1903605163097381,655.1525268554688,225.90628051757812,763.84228515625,329.33624267578125,709.4974060058594,277.6212615966797
1,0.0166833333333333,1,32,sports ball,0.7783735990524292,0.0,344.58013916015625,101.98001861572266,443.87896728515625,50.99000930786133,394.22955322265625
2,0.0333666666666666,1,32,sports ball,0.8069748282432556,0.1825127601623535,344.9673767089844,101.82674407958984,443.9310302734375,51.0046284198761,394.44920349121094
3,0.05005,1,32,sports ball,0.8093545436859131,0.0,345.4717102050781,101.49734497070312,444.4515075683594,50.74867248535156,394.9616088867187
4,0.0667333333333333,1,32,sports ball,0.7910729050636292,0.0,346.0843505859375,101.13388061523438,445.025634765625,50.56694030761719,395.5549926757813
5,0.0834166666666666,1,32,sports ball,0.8117774128913879,0.0,346.65350341796875,100.78720092773438,445.61724853515625,50.39360046386719,396.1353759765625
6,0.1001,1,32,sports ball,0.8225812315940857,0.0,347.2306823730469,100.40213012695312,445.8942565917969,50.20106506347656,396.5624694824219
7,0.1167833333333333,1,32,sports ball,0.8133254051208496,0.0,347.4856262207031,100.03395080566406,446.4382629394531,50.01697540283203,396.9619445800781
8,0.1334666666666666,1,32,sports ball,0.8236117959022522,0.0,347.8677062988281,99.18279266357422,446.6536865234375,49.59139633178711,397.2606964111328
9,0.15015,1,32,sports ball,0.8261401653289795,0.0,348.061279296875,98.7776870727539,447.0829772949219,49.38884353637695,397.5721282958984
10,0.1668333333333333,1,32,sports ball,0.8251376152038574,0.0,348.2843933105469,98.27649688720705,447.07958984375,49.13824844360352,397.6819915771485
11,0.1835166666666666,1,32,sports ball,0.8378058075904846,0.0,348.455322265625,97.97927856445312,447.35400390625,48.98963928222656,397.9046630859375
12,0.2002,1,32,sports ball,0.8362271189689636,0.0,348.5229187011719,97.7255859375,447.5696105957031,48.86279296875,398.0462646484375
13,0.2168833333333333,1,32,sports ball,0.8344851732254028,0.0,348.62408447265625,97.4505386352539,447.7017822265625,48.72526931762695,398.1629333496094
14,0.2335666666666666,1,32,sports ball,0.829615592956543,0.0,348.6479187011719,97.19268798828124,447.7491455078125,48.596343994140625,398.1985321044922
15,0.25025,1,32,sports ball,0.8272846937179565,0.0,348.678955078125,97.07732391357422,447.8413391113281,48.53866195678711,398.26014709472656
16,0.2669333333333333,1,32,sports ball,0.8275927901268005,0.0,348.6710510253906,96.81175231933594,447.7447814941406,48.40587615966797,398.2079162597656
17,0.2836166666666667,1,32,sports ball,0.8252094984054565,0.0,348.5654296875,96.1423110961914,447.28753662109375,48.0711555480957,397.9264831542969
18,0.3003,1,32,sports ball,0.8270608186721802,0.0,348.7801208496094,95.93560791015624,447.41748046875,47.967803955078125,398.0988006591797
19,0.3169833333333333,1,32,sports ball,0.8195571899414062,0.0,348.8535461425781,95.5491943359375,447.3441467285156,47.77459716796875,398.0988464355469
20,0.3336666666666666,1,32,sports ball,0.8190349340438843,0.0,348.9626159667969,94.869384765625,447.1185607910156,47.4346923828125,398.04058837890625
21,0.35035,1,32,sports ball,0.8280173540115356,0.0,349.0906066894531,94.43830871582033,447.3722229003906,47.21915435791016,398.2314147949219
22,0.3670333333333333,1,32,sports ball,0.8441880345344543,0.0,349.2335510253906,94.39730072021484,448.1708984375,47.19865036010742,398.7022247314453
23,0.3837166666666666,1,32,sports ball,0.8533862829208374,0.0,349.30908203125,94.0780029296875,448.5242309570313,47.03900146484375,398.9166564941406
24,0.4004,1,32,sports ball,0.8582041263580322,0.0,349.35479736328125,93.9320831298828,448.88427734375,46.966041564941406,399.1195373535156
25,0.4170833333333333,1,32,sports ball,0.8494391441345215,0.0,349.49420166015625,93.73369598388672,449.0286254882813,46.86684799194336,399.2614135742187
26,0.4337666666666667,1,32,sports ball,0.8426994681358337,0.0,349.6392822265625,93.64904022216795,449.0236206054687,46.824520111083984,399.3314514160156
27,0.45045,1,32,sports ball,0.8324947953224182,0.0,349.7757568359375,93.73529815673828,449.0870971679687,46.86764907836914,399.4314270019531
28,0.4671333333333333,1,32,sports ball,0.8160200119018555,0.0,350.0404052734375,93.9201431274414,449.3981018066406,46.9600715637207,399.71925354003906
29,0.4838166666666667,1,32,sports ball,0.8128026723861694,0.0,350.23187255859375,94.1421127319336,449.67333984375,47.0710563659668,399.9526062011719
30,0.5005000000000001,1,32,sports ball,0.8045364618301392,0.0,350.3453063964844,94.30435180664062,449.8490905761719,47.15217590332031,400.0971984863281
31,0.5171833333333333,1,32,sports ball,0.8007630705833435,0.0,350.499267578125,94.34752655029295,449.7716674804687,47.17376327514648,400.1354675292969
32,0.5338666666666667,1,32,sports ball,0.7861146330833435,0.0826822146773338,350.669921875,94.47647094726562,449.7865905761719,47.27957658097148,400.22825622558594
33,0.55055,1,32,sports ball,0.778149425983429,0.1652110964059829,350.7566833496094,94.59336853027344,449.8696594238281,47.37928981333971,400.3131713867187
34,0.5672333333333334,1,32,sports ball,0.7707346677780151,0.2661029398441314,350.8397216796875,94.68731689453124,449.8782043457031,47.47670991718769,400.3589630126953
35,0.5839166666666666,1,32,sports ball,0.7732756733894348,0.3882275223731994,350.9836120605469,94.68287658691406,449.7903137207031,47.53555205464363,400.386962890625
36,0.6006,1,32,sports ball,0.7861527800559998,0.3977889120578766,351.17962646484375,94.78321075439452,449.9954528808594,47.59049983322621,400.5875396728515
37,0.6172833333333333,1,32,sports ball,0.7885845899581909,0.4645220637321472,351.2821960449219,94.88265991210938,450.0237731933594,47.67359098792076,400.6529846191406
38,0.6339666666666667,1,32,sports ball,0.8008807897567749,0.7493672966957092,351.0931396484375,96.2115707397461,450.7313232421875,48.4804690182209,400.9122314453125
