frame,time_s,track_id,class_id,class_name,conf,x1,y1,x2,y2,cx,cy,cx_m,cy_m,vx_m,vy_m,ax_m,ay_m,speed_m,acceleration_m,kinetic_energy,momentum_x,momentum_y,momentum_magnitude,force_x,force_y,force_magnitude,potential_energy,total_energy,work_done,power,cx_m_smooth,cy_m_smooth,vx_m_smooth,vy_m_smooth,ax_m_smooth,ay_m_smooth
1,0.016683333333333335,2,62,tv,0.801904559135437,491.7880554199219,459.0692138671875,1093.6015625,811.63525390625,792.6948089599609,635.3522338867188,15.853896179199218,12.707044677734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.53336893615724,39.53336893615724,0.0,0.0,17.82985037122451,12.864420436314179,0.0,0.0,0.0,0.0
1,0.016683333333333335,27,59,bed,0.5366162657737732,1361.434814453125,982.2566528320312,1864.0704345703125,1080.0,1612.7526245117188,1031.1283264160156,32.25505249023438,20.622566528320313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7077342590332087,0.7077342590332087,-38.82563467712403,0.0,24.351235722133044,19.993063494001124,0.0,0.0,0.0,0.0
1,0.016683333333333335,30,0,person,0.7200383543968201,13.043720245361328,398.9070129394531,92.85201263427734,1079.22119140625,52.947866439819336,739.0641021728516,1.0589573287963867,14.781282043457031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.359234657287608,29.359234657287608,28.6515003982544,0.0,12.91468248094831,15.725536594935825,-475.13423453116076,-285.80182896066043,30797.300146840105,6117.810876229084
2,0.03336666666666667,2,62,tv,0.8114346861839294,499.8534240722656,455.1734619140625,1100.63818359375,807.297607421875,800.2458038330078,631.2355346679688,16.004916076660155,12.624710693359376,895.8616632086174,-129.26501598986943,0.0,0.0,905.1395273469011,0.0,204819.3909914429,447.9308316043087,-64.63250799493471,452.56976367345055,0.0,0.0,0.0,39.93721712951661,204859.3282085724,204829.96897391512,12277520.617817089,16.42441290937151,15.224936314174105,513.8016241164491,102.0654781184219,28479.574497372272,17130.978758880745
2,0.03336666666666667,27,59,bed,0.5308042764663696,1364.5721435546875,977.806884765625,1886.971923828125,1080.0,1625.7720336914062,1028.9034423828125,32.515440673828124,20.57806884765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9259953826904318,0.9259953826904318,-204858.40221318972,0.0,21.48660624329107,17.428328988211497,0.0,0.0,0.0,0.0
2,0.03336666666666667,30,0,person,0.7262046933174133,14.35906982421875,393.29425048828125,97.53226470947266,1079.7664794921875,55.9456672668457,736.5303649902344,1.118913345336914,14.730607299804687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.607794274902357,29.607794274902357,28.681798892211926,0.0,9.291197129845619,14.761629603794642,0.0,0.0,0.0,0.0
2,0.03336666666666667,31,32,sports ball,0.7615177035331726,0.1315261274576187,346.07421875,101.21360778808594,445.77996826171875,50.67256695777178,395.9270935058594,1.0134513391554356,7.9185418701171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.020975207519534,63.020975207519534,33.41318093261718,0.0,0.8058519279999369,9.695967790876114,587.9546777249676,-83.50821263000387,74406.72775085641,29832.523706141023
3,0.050050000000000004,2,62,tv,0.8043497204780579,501.5162353515625,454.1265869140625,1103.869873046875,807.4895629882812,802.6930541992188,630.8080749511719,16.053861083984376,12.616161499023438,901.5230616281083,281.57560213224275,0.0,0.0,944.4726837571603,0.0,223007.16259086324,450.76153081405414,140.78780106612138,472.23634187858016,0.0,0.0,0.0,39.97915092773438,223047.14174179098,222984.12076658345,13365681.564430576,19.10024100322383,13.36843425641741,1241.3522413101214,497.7059371641194,-35242.03862487318,5005.487270529702
3,0.050050000000000004,27,59,bed,0.5529229640960693,1362.65673828125,976.1119384765625,1889.0374755859375,1080.0,1625.8471069335938,1028.0559692382812,32.51694213867187,20.561119384765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.009132498168951,1.009132498168951,-223046.1326092928,0.0,21.51574515385713,17.999361842564173,0.0,0.0,0.0,0.0
3,0.050050000000000004,30,0,person,0.7141013145446777,13.972160339355469,391.48291015625,99.86734008789062,1079.972412109375,56.91975021362305,735.7276611328125,1.1383950042724609,14.71455322265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.686539523315442,29.686539523315442,28.67740702514649,0.0,10.58400785609654,15.152116673060824,0.0,0.0,0.0,0.0
3,0.050050000000000004,31,32,sports ball,0.7606013417243958,0.0,346.5597229003906,100.12183380126953,445.91748046875,50.060916900634766,396.2386016845703,1.0012183380126953,7.924772033691406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.990416255188,62.990416255188,33.30387673187256,0.0,-1.6689018224988672,8.587876220703123,-734.7378020234161,-392.36597874781467,44052.24987547198,23662.169538513477
4,0.06673333333333334,31,32,sports ball,0.7621797323226929,0.0,347.33367919921875,98.95941925048828,446.1841125488281,49.47970962524414,396.75889587402344,0.9895941925048828,7.935177917480469,-0.6967519784902624,0.6237292980457234,0.0,0.0,0.9351478796269102,0.0,0.21862538919267652,-0.3483759892451312,0.3118646490228617,0.4675739398134551,0.0,0.0,0.0,62.93937539520264,63.15800078439531,0.1675845292073106,10.045026725712923,-1.6738678076607856,8.60614426095145,734.9383687557909,394.76386180086655,44040.22789351145,23518.440284584292
4,0.06673333333333334,30,0,person,0.7205032110214233,13.074505805969238,395.2957458496094,100.83614349365234,1080.0,56.95532464981079,737.6478729248047,1.1391064929962158,14.752957458496093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.498166746521008,29.498166746521008,-33.659834037874305,0.0,10.592319962910244,15.173853315080914,0.0,0.0,0.0,0.0
4,0.06673333333333334,27,59,bed,0.5367065668106079,1365.5213623046875,975.7356567382812,1890.3848876953125,1080.0,1627.953125,1027.8678283691406,32.5590625,20.55735656738281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0275891174316532,1.0275891174316532,-28.470577629089355,0.0,20.252629386901855,17.605901044573102,0.0,0.0,0.0,0.0
4,0.06673333333333334,2,62,tv,0.7970169186592102,502.1940612792969,453.9353332519531,1104.933837890625,807.7816162109375,803.5639495849609,630.8584747314453,16.07127899169922,12.617169494628905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.97420670928956,39.97420670928956,38.94661759185791,0.0,21.59620918083191,14.48172570800781,79.10117726838409,-187.2528789569806,-4923.813021628978,11300.250593929859
5,0.08341666666666667,2,62,tv,0.8275348544120789,501.5538330078125,454.19482421875,1105.708740234375,809.2890014648438,803.6312866210938,631.7419128417969,16.072625732421876,12.634838256835938,0.08072371963974381,1.0590666657561747,0.0,0.0,1.062138654521328,0.0,0.28203463035709425,0.040361859819871906,0.5295333328780873,0.531069327260664,0.0,0.0,0.0,39.88754143066407,40.16957606102117,0.19536935173160686,11.710450653243171,21.572300694329396,14.481898847307477,-82.14561391084342,188.52584740872976,-4741.32930679625,11223.948788630209
