frame,time_s,track_id,class_id,class_name,conf,x1,y1,x2,y2,cx,cy,cx_m,cy_m,vx_m,vy_m,ax_m,ay_m,speed_m,acceleration_m,kinetic_energy,momentum_x,momentum_y,momentum_magnitude,force_x,force_y,force_magnitude,potential_energy,total_energy,work_done,power,cx_m_smooth,cy_m_smooth,vx_m_smooth,vy_m_smooth,ax_m_smooth,ay_m_smooth
1,0.016683333333333335,1,77,teddy bear,0.9235620498657227,0.0,322.45147705078125,404.6187744140625,858.8362426757812,202.30938720703125,590.6438598632812,4.046187744140625,11.812877197265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.11299064941407,36.11299064941407,0.0,0.0,4.944486476353248,11.620468954903743,0.0,0.0,0.0,0.0
1,0.016683333333333335,2,62,tv,0.7306824326515198,250.2113037109375,303.91546630859375,941.6856689453125,709.1683959960938,595.948486328125,506.54193115234375,11.9189697265625,10.130838623046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.36338985595704,44.36338985595704,8.250399206542966,0.0,8.325774797712043,10.90047159249442,268.9853255003918,-57.40899071979946,-6568.094216825889,1397.791732471001
2,0.03336666666666667,1,77,teddy bear,0.9062039852142334,0.0,322.7079162597656,404.2265930175781,859.006591796875,202.11329650878906,590.8572540283203,4.042265930175781,11.817145080566407,-472.13009768551757,101.07731014103086,0.0,0.0,482.8285946025593,0.0,58280.86294147064,-236.06504884275878,50.53865507051543,241.41429730127965,0.0,0.0,0.0,36.092056681823735,58316.95499815246,58272.591608296505,3492862.633863926,9.432058323451452,10.662695626395088,-109.57770518404526,23.319825403391203,-16089.233422437293,3436.3446559422455
2,0.03336666666666667,2,62,tv,0.7250756621360779,247.5261993408203,303.5357666015625,941.051513671875,709.9837036132812,594.2888565063477,506.7597351074219,11.885777130126954,10.135194702148437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.342023287963876,44.342023287963876,-58272.612974864496,0.0,6.497653416224888,11.28952401297433,0.5632812360629473,-0.07930737649632999,6635.41781703401,-1406.1924275629365
3,0.050050000000000004,1,77,teddy bear,0.9044368863105774,0.0,322.7077941894531,403.82928466796875,858.9884643554688,201.91464233398438,590.8481292724609,4.0382928466796875,11.816962585449218,-470.3786783285074,100.80526773031652,0.0,0.0,481.05904318311514,0.0,57854.45075706356,-235.1893391642537,50.40263386515826,240.52952159155757,0.0,0.0,0.0,36.09295182037354,57890.54370888393,57846.20168559597,3467304.7963394183,9.441455732073102,10.661372514997208,1.1231820634721583,-0.14015159645045522,222.25961815808833,-60.39620564673869
3,0.050050000000000004,2,62,tv,0.7105990648269653,250.67347717285156,303.02581787109375,944.3311157226562,709.6990356445312,597.5022964477539,506.3624267578125,11.950045928955078,10.12724853515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.38099923706056,44.38099923706056,-57846.16270964687,0.0,6.516391836983815,11.287185817173548,4.271312532333721,-1.0869174073694206,141.12516469779536,-63.08373387373795
4,0.06673333333333334,1,77,teddy bear,0.9063488841056824,0.0,322.4869689941406,403.4368896484375,858.7866821289062,201.71844482421875,590.6368255615234,4.034368896484375,11.812736511230469,-474.4661557924496,101.02825031413899,0.0,0.0,485.10291728044825,0.0,58831.21008850035,-237.2330778962248,50.51412515706949,242.55145864022413,0.0,0.0,0.0,36.11368071441651,58867.32376921477,58822.94276997771,3525850.715483179,9.51271546282087,10.643239109584261,3.4776202278470447,-1.1925985565773167,-2505.3080177468833,528.8418049868422
4,0.06673333333333334,2,62,tv,0.7237971425056458,260.70257568359375,302.3908386230469,949.0199584960938,706.3600463867188,604.8612670898438,504.3754425048828,12.097225341796875,10.087508850097656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.57592239227296,44.57592239227296,-58822.747846822494,0.0,6.57441013445173,11.267289297921316,-37.52557623041012,7.7359267058277315,12359.849024690882,-2611.3061797940613
5,0.08341666666666667,1,77,teddy bear,0.9121198058128357,0.0,322.1357727050781,403.0535583496094,858.8426513671875,201.5267791748047,590.4892120361328,4.030535583496094,11.809784240722657,-483.5178676304167,103.23329014735272,0.0,0.0,494.4154533512405,0.0,61111.66012812817,-241.75893381520834,51.61664507367636,247.20772667562025,0.0,0.0,0.0,36.12816160125733,61147.788289729426,61103.21236733715,3662530.2118284022,8.886663766043528,10.77230015345982,209.68110145643985,-44.75788998947489,8984.480856818886,-1902.1703893054666
5,0.08341666666666667,2,62,tv,0.7150285243988037,265.4983825683594,302.4349365234375,950.4080200195312,704.9326782226562,607.9532012939453,503.6838073730469,12.159064025878907,10.073676147460937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.64377179870606,44.64377179870606,-61103.14451793072,0.0,10.07258984375,10.520578499930243,112.36551273085158,-23.99861595575179,-29269.059792925214,6226.656709227292
