frame,time_s,track_id,class_id,class_name,conf,x1,y1,x2,y2,cx,cy,cx_m,cy_m,vx_m,vy_m,ax_m,ay_m,speed_m,acceleration_m,kinetic_energy,momentum_x,momentum_y,momentum_magnitude,force_x,force_y,force_magnitude,potential_energy,total_energy,work_done,power,cx_m_smooth,cy_m_smooth,vx_m_smooth,vy_m_smooth,ax_m_smooth,ay_m_smooth
1,0.016683333333333335,1,62,tv,0.7306824326515198,324.8365478515625,360.22137451171875,986.2101440429688,747.3472290039062,655.5233459472656,553.7843017578125,13.110466918945313,11.07568603515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.72891329956055,39.72891329956055,0.0,0.0,13.900802991594599,10.909415496826172,-289.4571532157869,9.549352624913931,-1031.4030987832164,-896.5569417080785
2,0.03336666666666667,1,62,tv,0.7250756621360779,269.183349609375,319.7163391113281,954.120361328125,720.6484985351562,611.65185546875,520.1824188232422,12.233037109375,10.403648376464844,-52.59319537884,-40.281977543940464,0.0,0.0,66.24712759816353,0.0,1097.17047875184,-26.29659768942,-20.140988771970232,33.123563799081765,0.0,0.0,0.0,43.0252580154419,1140.195736767282,1100.4668234677213,65962.04736070256,9.071692818777887,11.068730529785153,-306.6643949138202,-5.4082056859158465,8114.349704447459,172.40725394704276
2,0.03336666666666667,56,77,teddy bear,0.9062039852142334,0.0,322.6878967285156,404.2602233886719,858.9932861328125,202.13011169433594,590.8405914306641,4.0426022338867185,11.81681182861328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.093691282653815,36.093691282653815,-1104.1020454846282,0.0,8.784618669782365,10.81918859863281,-154.0827523132551,12.425680311597095,20829.037977331627,-390.65146246432164
3,0.050050000000000004,1,62,tv,0.7105990648269653,250.82266235351562,303.5771484375,944.0814819335938,709.9151611328125,597.4520721435547,506.74615478515625,11.949041442871094,10.134923095703124,473.91244009896354,-100.81251146314622,0.0,0.0,484.5164221655038,0.0,58689.04083701518,236.95622004948177,-50.40625573157311,242.2582110827519,0.0,0.0,0.0,44.34335551757813,58733.38419253276,58697.29050125011,3518319.110964042,6.501078901018414,11.276032296316965,40.83338867466243,-11.92557425136228,9319.00312466379,-876.8103288433799
3,0.050050000000000004,56,77,teddy bear,0.9044368863105774,0.0,322.6899108886719,403.8708801269531,858.9767456054688,201.93544006347656,590.8333282470703,4.038708801269531,11.816666564941407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.09440380096436,36.09440380096436,-58697.289788731796,0.0,9.465855704171316,10.620230268205916,1.3892831498858143,-2.202438674606627,-2404.866921000899,501.9099151459329
4,0.06673333333333334,1,62,tv,0.7237971425056458,252.5333251953125,297.4220886230469,943.2188110351562,703.3565063476562,597.8760681152344,500.38929748535156,11.957521362304687,10.007785949707031,474.6540995625468,-108.42441250156097,0.0,0.0,486.88023933801287,0.0,59263.09186446018,237.3270497812734,-54.21220625078048,243.44011966900644,0.0,0.0,0.0,44.96696321868897,59308.05882767887,59271.96442387791,3552765.1003323416,6.524256774902343,11.239288277762277,0.712192209297429,-3.5520438336776303,-43.37530840742891,91.73061069197433
4,0.06673333333333334,56,77,teddy bear,0.9063488841056824,0.0,322.4703063964844,403.4682312011719,858.7745361328125,201.73411560058594,590.6224212646484,4.034682312011719,11.812448425292969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.11509377593995,36.11509377593995,-59271.94373390293,0.0,9.477737444196428,10.56097033691406,0.6656384212885419,-0.6720663195621884,-8.468517665796599,160.76167943972274
5,0.08341666666666667,1,62,tv,0.7150285243988037,255.67919921875,295.8316345214844,943.0689697265625,700.8977661132812,599.3740844726562,498.3647003173828,11.987481689453125,9.967294006347656,476.6912713751094,-110.59866647024857,0.0,0.0,489.3532805961512,0.0,59866.65830755387,238.3456356875547,-55.29933323512429,244.6766402980756,0.0,0.0,0.0,45.16557620086671,59911.82388375474,59875.7087899788,3588953.5738249044,6.535361842564173,11.228075971330915,0.5709091062397225,-0.8700031483582569,2393.1421366192203,-522.2091958388604
5,0.08341666666666667,56,77,teddy bear,0.9121198058128357,0.0,322.1185302734375,403.0899658203125,858.8355102539062,201.54498291015625,590.4770202636719,4.030899658203125,11.809540405273438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.12935761413574,36.12935761413574,-59875.69452614061,0.0,9.487262111118861,10.54645578438895,40.59122640055252,-9.384256403473842,-12286.044750430938,2864.773987223657
6,0.10010000000000001,1,62,tv,0.7313677072525024,255.86819458007812,295.3896789550781,942.929931640625,701.3385620117188,599.3990631103516,498.36412048339844,11.98798126220703,9.967282409667968,476.94794829194217,-110.4250546816465,0.0,0.0,489.5641307135744,0.0,59918.25952033444,238.47397414597108,-55.21252734082325,244.7820653567872,0.0,0.0,0.0,45.16563308258058,59963.42515341702,59927.295795802886,3592045.702046125,7.212558803013391,11.071515293666293,-204.40127081344986,46.92397620515644,-9099.599948967512,2085.873203155763
6,0.10010000000000001,56,77,teddy bear,0.9103943109512329,0.0,321.56500244140625,402.42095947265625,858.8952026367188,201.21047973632812,590.2301025390625,4.024209594726562,11.80460205078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.15358024291993,36.15358024291993,-59927.2715731741,0.0,6.077167576381138,11.329304120744977,-111.22043274805554,25.415061535841488,28403.440924949144,-6530.840796355556
7,0.11678333333333334,56,77,teddy bear,0.9104771018028259,0.0,321.55609130859375,401.8329772949219,858.7303466796875,200.91648864746094,590.1432189941406,4.018329772949219,11.802864379882813,-0.35243686977082445,-0.10415609780844585,0.0,0.0,0.3675054283742481,0.0,0.0337650599711349,-0.17621843488541222,-0.05207804890422293,0.18375271418712405,0.0,0.0,0.0,36.162103518676766,36.195868578647904,0.04228833572797441,2.5347653783001656,5.357031249999999,11.495523236955915,269.4628019511182,-62.0322177473754,22978.49124089639,-5291.518089713205
7,0.11678333333333334,1,62,tv,0.7319963574409485,250.15707397460938,295.4985656738281,939.6339721679688,703.359130859375,594.8955230712891,499.42884826660156,11.89791046142578,9.988576965332031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.061183287048344,45.061183287048344,8.86531470840044,0.0,10.572705322265625,10.294399954659598,272.1373961208991,-62.865098594207126,-22509.560075785,5229.09886042916
8,0.13346666666666668,1,62,tv,0.7329463362693787,256.16656494140625,295.6693115234375,941.0670776367188,701.7200927734375,598.6168212890625,498.6947021484375,11.97233642578125,9.97389404296875,4.461096764563627,-0.8800952465503328,0.0,0.0,4.547081699925849,0.0,5.168987996450138,2.2305483822818135,-0.4400476232751664,2.2735408499629246,0.0,0.0,0.0,45.13320302124024,50.302191017690376,5.241007730642032,314.14631752100075,9.897190141950334,10.446723842075892,-106.07169197989508,25.20658157411779,-28436.849479008342,6612.1121950267625
8,0.13346666666666668,56,77,teddy bear,0.9156084656715393,0.0,321.6110534667969,401.1719055175781,858.6924438476562,200.58595275878906,590.1517486572266,4.0117190551757815,11.80303497314453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.16126675872804,36.16126675872804,-14.140924258962336,0.0,8.803075927734374,10.714929757254463,-202.2840426872236,47.44697319282275,8796.197560077379,-2032.5279450640664
9,0.15015,1,62,tv,0.7272545695304871,257.40789794921875,296.80596923828125,942.2130737304688,703.5811767578125,599.8104858398438,500.1935729980469,11.996209716796875,10.003871459960937,478.59084884841735,-107.84196882219345,0.0,0.0,490.5905531508894,0.0,60169.7727102239,239.29542442420868,-53.920984411096725,245.2952765754447,0.0,0.0,0.0,44.98616379089356,60214.75887401479,60178.597607256066,3607108.7476876774,6.522418029785155,11.238297511509485,40.67820398072913,-8.702759642701043,12077.317881645404,-2844.8572070512305
9,0.15015,56,77,teddy bear,0.9134942889213562,0.0,321.56658935546875,400.67962646484375,858.3170166015625,200.33981323242188,589.9418029785156,4.006796264648438,11.798836059570313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.18186242980958,36.18186242980958,-60178.57701158498,0.0,9.481723964146205,10.569738717215401,-0.7941226951061774,-0.0147278781485878,-2434.6834474451025,475.485707814065
10,0.16683333333333333,1,62,tv,0.7470178008079529,257.7514953613281,297.3492736816406,940.7854614257812,703.5231323242188,599.2684783935547,500.4362030029297,11.985369567871095,10.008724060058594,478.2361620313282,-107.29942055015303,0.0,0.0,490.1254863041234,0.0,60055.748081213365,239.1180810156641,-53.649710275076515,245.0627431520617,0.0,0.0,0.0,44.96236178741456,60100.71044300078,60064.52858057097,3600271.4433908686,6.5091694161551334,11.23805180140904,0.05956846585335016,-0.7700730840030616,118.91750087983952,-76.14808457450955
10,0.16683333333333333,56,77,teddy bear,0.8985022902488708,0.0,321.3359680175781,399.9664001464844,858.0440063476562,199.9832000732422,589.6899871826172,3.999664001464844,11.793799743652343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.206565559387215,36.206565559387215,-60064.50387744139,0.0,9.482717764718192,10.55689133126395,1.1898176112391448,-1.2851317557999884,-176.03385071226953,16.924786543424442
11,0.18351666666666666,1,62,tv,0.7477428317070007,262.0261535644531,297.2708740234375,938.6154174804688,699.9461669921875,600.3207855224609,498.6085205078125,12.006415710449218,9.97217041015625,479.92517736170095,-109.18857143832727,0.0,0.0,492.18931316964085,0.0,60562.5799996007,239.96258868085047,-54.594285719163636,246.09465658482043,0.0,0.0,0.0,45.141657440185554,60607.721657040885,60571.515091481495,3630660.245243647,6.5290195399693065,11.216611519949776,-2.877262943529679,-0.48771122850359727,2060.5223781198265,-449.4920876774247
11,0.18351666666666666,56,77,teddy bear,0.9009634256362915,0.0,321.31396484375,399.34002685546875,857.940185546875,199.67001342773438,589.6270751953125,3.9934002685546877,11.79254150390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.212737225341805,36.212737225341805,-60571.50891981554,0.0,9.434715427943638,10.548754682268415,35.566199286204906,-8.784158085218355,-12131.768679017787,2823.5810306801445
