frame,time_s,track_id,class_id,class_name,conf,x1,y1,x2,y2,cx,cy,cx_m,cy_m,vx_m,vy_m,ax_m,ay_m,speed_m,acceleration_m,kinetic_energy,momentum_x,momentum_y,momentum_magnitude,force_x,force_y,force_magnitude,potential_energy,total_energy,work_done,power,cx_m_smooth,cy_m_smooth,vx_m_smooth,vy_m_smooth,ax_m_smooth,ay_m_smooth
1,0.03333333333333333,1,62,tv,0.5746908783912659,443.36981201171875,354.4082336425781,1057.669189453125,720.4324951171875,750.5195007324219,537.4203643798828,15.010390014648438,10.748407287597656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.96987178802491,33.96987178802491,0.0,0.0,12.564702863420733,9.892222172328399,361.74324907575493,120.06091853550544,-6711.544948032962,-2433.928406851644
2,0.06666666666666667,1,62,tv,0.5288923978805542,432.5155334472656,339.28045654296875,1051.49072265625,707.6707763671875,742.0031280517578,523.4756164550781,14.840062561035156,10.469512329101562,-5.109823608398472,-8.366848754882827,0.0,0.0,9.803798008732672,0.0,24.028613849007677,-2.554911804199236,-4.183424377441414,4.901899004366336,0.0,0.0,0.0,35.337851559448254,59.36646540845593,25.39659362043102,761.8978086129306,24.622811165945897,13.89425279017858,138.02508414132288,38.92997164045063,-6485.893594142404,-1625.5953114100969
3,0.1,-1,77,teddy bear,0.5782476663589478,1724.3292236328125,682.4664306640625,1919.7205810546875,1080.0,1822.02490234375,881.2332153320312,36.440498046875,17.624664306640625,648.0130645751952,214.65455932617186,19593.686645507805,6690.64224243164,682.6401040809492,20704.522452318517,116499.37792491229,324.0065322875976,107.32727966308593,341.3200520404746,9796.843322753903,3345.32112121582,10352.261226159259,0.241831109619149,116499.61975602192,116440.25329061346,3493207.598718403,21.766375139508927,12.487553615025108,-70.64965720040543,11.6878977748323,-4140.752524239686,-1167.8991492135187
3,0.1,-1,29,frisbee,0.49343428015708923,219.1147003173828,309.17681884765625,499.52423095703125,499.02459716796875,359.31946563720703,404.1007080078125,7.186389312744141,8.08201416015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.04853007812501,47.04853007812501,-116452.57122594379,0.0,22.26782259259905,14.28384938267299,0.0,0.0,0.0,0.0
3,0.1,-1,59,bed,0.3431471586227417,647.00390625,684.6197509765625,1918.049072265625,1079.6473388671875,1282.5264892578125,882.133544921875,25.65052978515625,17.6426708984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15350877685547154,0.15350877685547154,-46.89502130126954,0.0,15.255212803431919,12.358769287109373,0.0,0.0,0.0,0.0
3,0.1,-1,62,tv,0.3045922517776489,408.172119140625,300.7017822265625,1037.3936767578125,674.59814453125,722.7828979492188,487.64996337890625,14.455657958984375,9.752999267578126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.85234812622071,38.85234812622071,38.69883934936524,0.0,19.70085179356166,12.537073451450892,0.0,0.0,0.0,0.0
3,0.1,-1,0,person,0.23920105397701263,831.029052734375,392.59637451171875,919.2919921875,557.8919067382812,875.1605224609375,475.244140625,17.50321044921875,9.5048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.069359338378916,40.069359338378916,1.217011212158205,0.0,16.08725714111328,8.8854794921875,-74.99325086321149,-84.11968610491074,-3729.1303815569213,-796.3751325334848
4,0.13333333333333333,-1,0,person,0.2134729027748108,830.9315185546875,392.841796875,919.1380615234375,558.0921630859375,875.0347900390625,475.46697998046875,17.50069580078125,9.509339599609374,-0.07543945312491475,0.13370361328123084,0.0,0.0,0.15351797058404315,0.0,0.005891941823060785,-0.037719726562457374,0.06685180664061542,0.07675898529202158,0.0,0.0,0.0,40.04749879760744,40.0533907394305,-0.015968598948418844,-0.47905796845256543,17.201076764787945,9.733083914620535,-124.30434605189735,-26.545837751116153,2249.797525896345,2523.590583147323
4,0.13333333333333333,-1,62,tv,0.21954680979251862,330.6777038574219,283.27984619140625,1036.830078125,677.0961303710938,683.7538909912109,480.18798828125,13.675077819824219,9.603759765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.58436788330079,39.58436788330079,-0.46902285612970473,0.0,11.94377893938337,8.000618233816962,0.0,0.0,0.0,0.0
4,0.13333333333333333,-1,29,frisbee,0.2237951159477234,288.9803466796875,252.98916625976562,585.9072265625,448.5291442871094,437.44378662109375,350.7591552734375,8.748875732421874,7.01518310546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.2813364013672,52.2813364013672,12.696968518066406,0.0,13.107107212611604,10.433597098214285,0.0,0.0,0.0,0.0
4,0.13333333333333333,-1,59,bed,0.3857108950614929,646.7142333984375,687.396728515625,1917.5953369140625,1080.0,1282.15478515625,883.6983642578125,25.643095703125,17.67396728515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52.2813364013672,0.0,23.652239562988278,14.699970982142856,0.0,0.0,0.0,0.0
4,0.13333333333333333,-1,77,teddy bear,0.5766122341156006,1723.552734375,682.8973388671875,1919.71826171875,1080.0,1821.635498046875,881.4486694335938,36.4327099609375,17.628973388671874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2206950622558747,0.2206950622558747,0.2206950622558747,0.0,37.37054901994978,19.546737422398156,195.3049637276788,-11.366861572265654,-18378.448995535724,-9218.694491141187
5,0.16666666666666666,-1,77,teddy bear,0.552833080291748,1722.227294921875,682.568603515625,1919.707275390625,1080.0,1820.96728515625,881.2843017578125,36.419345703125,17.62568603515625,-0.4009277343749319,-0.09862060546872445,0.0,0.0,0.4128790040847727,0.0,0.042617268003508436,-0.20046386718746595,-0.049310302734362224,0.20643950204238634,0.0,0.0,0.0,0.23681953125001118,0.2794367992535196,0.0587417369976449,1.7622521099293473,30.16240502057757,14.321075596400668,-612.6149665178573,-307.2898163713728,-5859.148911830365,341.0058471679697
5,0.16666666666666666,-1,29,frisbee,0.5424226522445679,362.01007080078125,200.9373016357422,634.307373046875,402.63031005859375,498.1587219238281,301.78380584716797,9.963174438476562,6.0356761169433595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.08581818008423,57.08581818008423,56.806381380830715,0.0,16.950050136021204,9.303743543352399,0.0,0.0,0.0,0.0
5,0.16666666666666666,-1,62,tv,0.4180140793323517,404.9462585449219,303.85687255859375,1037.254638671875,674.5734252929688,721.1004486083984,489.21514892578125,14.42200897216797,9.784302978515624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.69880342407228,38.69880342407228,-18.38701475601195,0.0,15.910242680140902,10.802057843889509,0.0,0.0,0.0,0.0
5,0.16666666666666666,-1,59,bed,0.3998902440071106,646.28759765625,687.0142822265625,1917.7236328125,1079.9329833984375,1282.005615234375,883.4736328125,25.6401123046875,17.66947265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022046154785160435,0.022046154785160435,-38.67675726928712,0.0,15.763745256696426,12.871868735177175,0.0,0.0,0.0,0.0
5,0.16666666666666666,-1,0,person,0.2651366591453552,0.1779022216796875,234.961181640625,209.72418212890625,426.5672607421875,104.95104217529297,330.76422119140625,2.0990208435058593,6.615284423828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.242839434814464,54.242839434814464,54.220793280029305,0.0,14.392444231305802,10.644468078613281,0.0,0.0,0.0,0.0
5,0.16666666666666666,-1,0,person,0.1886117309331894,831.4097290039062,394.0462646484375,919.0455932617188,557.7420654296875,875.2276611328125,475.8941650390625,17.50455322265625,9.51788330078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.005591943359384,40.005591943359384,-14.23724749145508,0.0,6.473205008370534,8.661545610700335,0.0,0.0,0.0,0.0
5,0.16666666666666666,-1,0,person,0.1692696511745453,0.0,231.08859252929688,213.92552185058594,995.53857421875,106.96276092529297,613.3135833740234,2.1392552185058595,12.266271667480469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.524747004699716,26.524747004699716,-13.480844938659668,0.0,10.72689776611328,11.4365685773577,115.60908482142854,79.42633169991619,2359.3091956002354,-457.82165352957617
6,0.2,1,62,tv,0.7127845287322998,441.8798828125,354.2433776855469,1056.5936279296875,719.762451171875,749.2367553710938,537.0029144287109,14.984735107421875,10.740058288574218,385.3643966674802,-45.786401367187494,0.0,0.0,388.07488036337554,0.0,37650.52819226206,192.6821983337401,-22.893200683593747,194.03744018168777,0.0,0.0,0.0,34.010823628234874,37684.539015890296,37658.0142688856,1129740.4280665673,10.32684116908482,11.309090000697543,78.64363985334123,-15.260721784319214,-725.2723486764088,-1383.629054260252
7,0.23333333333333334,1,62,tv,0.8361177444458008,429.93365478515625,339.56024169921875,1053.41015625,710.3118896484375,741.6719055175781,524.9360656738281,14.833438110351562,10.498721313476562,-4.5389099121093865,-7.2401092529296935,-11697.09919738769,1156.3887634277344,8.545225870894402,11754.121175388216,18.255221296150747,-2.2694549560546933,-3.6200546264648468,4.272612935447201,-5848.549598693845,578.1943817138672,5877.060587694108,35.19458149108888,53.44980278723963,-37631.089213103056,-1128932.676393092,15.969807089669363,10.419187125069753,67.25759490966794,-12.81560525076729,-1438.4462271554135,242.07112753731906
8,0.26666666666666666,1,62,tv,0.7925539612770081,431.21820068359375,339.1338806152344,1050.7723388671875,707.169677734375,740.9952697753906,523.1517791748047,14.819905395507812,10.463035583496094,-0.40598144531250224,-1.0705718994140414,123.98785400390656,185.0861206054696,1.1449651198848882,222.77760206375436,0.3277362814382541,-0.20299072265625112,-0.5352859497070207,0.5724825599424441,61.99392700195328,92.5430603027348,111.38880103187718,35.369619996643074,35.69735627808133,-17.752446509158304,-532.5733952747493,14.81068082972935,10.454716317313057,-17.25277529035298,0.8773533848353845,-1006.1800107683447,202.6458395821709
9,0.3,1,62,tv,0.7807531952857971,430.3189697265625,339.4649658203125,1051.7850341796875,708.7025146484375,741.052001953125,524.083740234375,14.8210400390625,10.4816748046875,0.0340393066406719,0.5591766357422047,13.200622558595228,48.89245605468739,0.5602117317198453,50.643150523975415,0.07845929608913697,0.01701965332033595,0.27958831787110233,0.28010586585992264,6.600311279297614,24.446228027343697,25.321575261987707,35.278194616699224,35.35665391278836,-0.3407023652929695,-10.221070958789086,14.819622070312498,10.477677350725445,0.17892752511164292,0.6941173880441022,258.4304283142094,-6.804811968122152
10,0.3333333333333333,1,62,tv,0.7302618026733398,430.6063537597656,340.5345153808594,1051.5301513671875,709.5025634765625,741.0682525634766,525.0185394287109,14.821365051269531,10.50037078857422,0.009750366210905527,0.5608795166015669,-0.7286682128929914,0.05108642578086632,0.5609642607015657,0.7304568347135441,0.07867022544611353,0.004875183105452764,0.28043975830078344,0.28048213035078284,-0.3643341064464957,0.02554321289043316,0.36522841735677203,35.18649081573487,35.26516104118098,-0.09149287160737885,-2.744786148221366,14.82260933140346,10.50099080984933,-0.024080069405689748,0.42369925362724115,-4.768417576381934,-8.644374520438541
11,0.36666666666666664,1,62,tv,0.7129531502723694,430.88104248046875,341.2218017578125,1051.3135986328125,709.9274291992188,741.0973205566406,525.5746154785156,14.821946411132812,10.511492309570313,0.017440795898426845,0.33364562988280616,0.2307128906256396,-6.817016601562823,0.33410116387325717,6.820919570254731,0.02790589692536626,0.008720397949213423,0.16682281494140308,0.16705058193662858,0.1153564453128198,-3.4085083007814116,3.4104597851273657,35.13193975524903,35.1598456521744,-0.10531538900658433,-3.1594616701975307,14.818016732352119,10.505923967633928,-0.13896697998048593,0.1178257533481996,-0.12297036307189431,-5.612434387207397
12,0.4,1,62,tv,0.6664317846298218,431.41015625,341.4591064453125,1049.523193359375,708.558349609375,740.4666748046875,525.0087280273438,14.80933349609375,10.500174560546874,-0.3783874511718638,-0.339532470703165,-11.874847412108702,-20.195343017579106,0.5083889867671556,23.427844131685397,0.06461484046653378,-0.1891937255859319,-0.1697662353515825,0.2541944933835778,-5.937423706054351,-10.097671508789553,11.713922065842699,35.187453314209,35.252068154675534,0.09222250250113717,2.766675075034111,14.813344866071427,10.508845860072544,-0.03227809361048271,0.04953696114674774,4.778672136579717,-0.655493382045112
13,0.43333333333333335,1,62,tv,0.642806887626648,430.5732727050781,341.45111083984375,1051.0189208984375,710.2005615234375,740.7960968017578,525.8258361816406,14.815921936035156,10.516516723632812,0.19765319824220035,0.4902648925781251,17.28121948242193,24.893920898438708,0.5286080321656219,30.30425456099131,0.0698566129175028,0.09882659912110017,0.24513244628906256,0.26430401608281096,8.640609741210964,12.446960449219354,15.152127280495655,35.10729500427247,35.17715161718998,-0.07491653748555649,-2.247496124566695,14.815864859444753,10.509226431710378,0.17961116245816203,0.0741261945451921,3.9734194074360314,-0.7540976388107798
14,0.4666666666666667,1,62,tv,0.6711815595626831,431.5885925292969,341.4137268066406,1051.1422119140625,709.5315551757812,741.3654022216797,525.4726409912109,14.827308044433593,10.509452819824219,0.34158325195310374,-0.21191711425778698,4.317901611327103,-21.06546020507737,0.4019800757876011,21.503438980237544,0.04039699533255138,0.17079162597655187,-0.10595855712889349,0.20099003789380054,2.1589508056635514,-10.532730102538684,10.751719490118772,35.141943452453624,35.182340447786174,0.005188830596196681,0.15566491788590045,14.825318943568638,10.513787606375557,0.2326165335519193,-0.0007362147739709004,-1.3875987461637433,-0.45429251534572246
15,0.5,1,62,tv,0.6311691403388977,431.25897216796875,341.3274230957031,1051.7164306640625,709.9696044921875,741.4877014160156,525.6485137939453,14.829754028320313,10.512970275878907,0.07337951660158383,0.10552368164063355,-8.0461120605456,9.523223876952619,0.12852937735660241,12.467225525409324,0.004129950210918975,0.036689758300791915,0.05276184082031678,0.06426468867830121,-4.0230560302728,4.761611938476309,6.233612762704662,35.12469033050538,35.1288202807163,-0.053520167069876834,-1.6056050120963055,14.831372628348214,10.509177350725446,0.08710457938057915,0.04384002685547728,-4.330104282924687,3.3717923845556736
